TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
800100000000.0	1638322870.0	415181079.9	6464894370.8
800200000000.0	1638323337.2	415162443.0	6465188272.1
800300000000.0	1638323804.3	415143810.4	6465482131.4
800400000000.0	1638324271.4	415125182.1	6465775948.8
800500000000.0	1638324738.2	415106558.1	6466069724.2
800600000000.0	1638325205.0	415087938.5	6466363457.7
800700000000.0	1638325671.7	415069323.2	6466657149.2
800800000000.0	1638326138.2	415050712.3	6466950798.9
800900000000.0	1638326604.7	415032105.6	6467244406.6
801000000000.0	1638327071.0	415013503.3	6467537972.4
801100000000.0	1638327537.2	414994905.3	6467831496.4
801200000000.0	1638328003.3	414976311.6	6468124978.4
801300000000.0	1638328469.2	414957722.2	6468418418.6
801400000000.0	1638328935.1	414939137.1	6468711816.9
801500000000.0	1638329400.8	414920556.3	6469005173.4
801600000000.0	1638329866.4	414901979.9	6469298488.0
801700000000.0	1638330331.9	414883407.8	6469591760.8
801800000000.0	1638330797.3	414864839.9	6469884991.7
801900000000.0	1638331262.6	414846276.4	6470178180.9
802000000000.0	1638331727.7	414827717.2	6470471328.2
802100000000.0	1638332192.8	414809162.3	6470764433.7
802200000000.0	1638332657.7	414790611.6	6471057497.4
802300000000.0	1638333122.5	414772065.3	6471350519.3
802400000000.0	1638333587.2	414753523.3	6471643499.4
802500000000.0	1638334051.8	414734985.6	6471936437.8
802600000000.0	1638334516.2	414716452.2	6472229334.4
802700000000.0	1638334980.6	414697923.0	6472522189.3
802800000000.0	1638335444.8	414679398.2	6472815002.4
802900000000.0	1638335908.9	414660877.6	6473107773.7
803000000000.0	1638336372.9	414642361.4	6473400503.4
803100000000.0	1638336836.8	414623849.4	6473693191.3
803200000000.0	1638337300.6	414605341.7	6473985837.5
803300000000.0	1638337764.2	414586838.3	6474278442.0
803400000000.0	1638338227.8	414568339.2	6474571004.8
803500000000.0	1638338691.2	414549844.4	6474863525.9
803600000000.0	1638339154.5	414531353.8	6475156005.4
803700000000.0	1638339617.7	414512867.6	6475448443.1
803800000000.0	1638340080.8	414494385.6	6475740839.2
803900000000.0	1638340543.7	414475907.9	6476033193.7
804000000000.0	1638341006.6	414457434.4	6476325506.5
804100000000.0	1638341469.3	414438965.2	6476617777.7
804200000000.0	1638341931.9	414420500.4	6476910007.2
804300000000.0	1638342394.4	414402039.7	6477202195.2
804400000000.0	1638342856.8	414383583.4	6477494341.5
804500000000.0	1638343319.1	414365131.3	6477786446.2
804600000000.0	1638343781.3	414346683.5	6478078509.4
804700000000.0	1638344243.3	414328239.9	6478370530.9
804800000000.0	1638344705.2	414309800.6	6478662510.9
804900000000.0	1638345167.1	414291365.6	6478954449.3
805000000000.0	1638345628.8	414272934.8	6479246346.1
805100000000.0	1638346090.3	414254508.3	6479538201.4
805200000000.0	1638346551.8	414236086.1	6479830015.2
805300000000.0	1638347013.2	414217668.1	6480121787.4
805400000000.0	1638347474.4	414199254.3	6480413518.1
805500000000.0	1638347935.5	414180844.8	6480705207.2
805600000000.0	1638348396.6	414162439.6	6480996854.9
805700000000.0	1638348857.5	414144038.6	6481288461.1
805800000000.0	1638349318.2	414125641.9	6481580025.7
805900000000.0	1638349778.9	414107249.4	6481871548.9
806000000000.0	1638350239.5	414088861.2	6482163030.6
806100000000.0	1638350699.9	414070477.2	6482454470.9
806200000000.0	1638351160.3	414052097.4	6482745869.7
806300000000.0	1638351620.5	414033721.9	6483037227.0
806400000000.0	1638352080.6	414015350.6	6483328542.9
806500000000.0	1638352540.6	413996983.6	6483619817.4
806600000000.0	1638353000.4	413978620.8	6483911050.4
806700000000.0	1638353460.2	413960262.2	6484202242.1
806800000000.0	1638353919.9	413941907.9	6484493392.3
806900000000.0	1638354379.4	413923557.8	6484784501.1
807000000000.0	1638354838.8	413905212.0	6485075568.5
807100000000.0	1638355298.1	413886870.3	6485366594.6
807200000000.0	1638355757.3	413868532.9	6485657579.3
807300000000.0	1638356216.4	413850199.8	6485948522.6
807400000000.0	1638356675.4	413831870.8	6486239424.5
807500000000.0	1638357134.2	413813546.1	6486530285.1
807600000000.0	1638357593.0	413795225.6	6486821104.4
807700000000.0	1638358051.6	413776909.3	6487111882.3
807800000000.0	1638358510.1	413758597.3	6487402618.9
807900000000.0	1638358968.5	413740289.4	6487693314.2
808000000000.0	1638359426.8	413721985.8	6487983968.2
808100000000.0	1638359885.0	413703686.4	6488274580.9
808200000000.0	1638360343.0	413685391.2	6488565152.3
808300000000.0	1638360801.0	413667100.3	6488855682.4
808400000000.0	1638361258.8	413648813.5	6489146171.3
808500000000.0	1638361716.5	413630530.9	6489436618.9
808600000000.0	1638362174.1	413612252.6	6489727025.2
808700000000.0	1638362631.6	413593978.5	6490017390.3
808800000000.0	1638363089.0	413575708.5	6490307714.1
808900000000.0	1638363546.3	413557442.8	6490597996.7
809000000000.0	1638364003.4	413539181.3	6490888238.1
809100000000.0	1638364460.5	413520924.0	6491178438.3
809200000000.0	1638364917.4	413502670.8	6491468597.3
809300000000.0	1638365374.2	413484421.9	6491758715.0
809400000000.0	1638365830.9	413466177.2	6492048791.6
809500000000.0	1638366287.5	413447936.7	6492338827.0
809600000000.0	1638366744.0	413429700.3	6492628821.2
809700000000.0	1638367200.4	413411468.2	6492918774.3
809800000000.0	1638367656.6	413393240.2	6493208686.2
809900000000.0	1638368112.8	413375016.5	6493498557.0
810000000000.0	1638368568.8	413356796.9	6493788386.6
810100000000.0	1638369024.7	413338581.5	6494078175.1
810200000000.0	1638369480.5	413320370.3	6494367922.5
810300000000.0	1638369936.2	413302163.3	6494657628.7
810400000000.0	1638370391.8	413283960.5	6494947293.9
810500000000.0	1638370847.3	413265761.8	6495236917.9
810600000000.0	1638371302.6	413247567.4	6495526500.9
810700000000.0	1638371757.9	413229377.1	6495816042.8
810800000000.0	1638372213.0	413211191.0	6496105543.6
810900000000.0	1638372668.0	413193009.0	6496395003.3
811000000000.0	1638373123.0	413174831.3	6496684422.0
811100000000.0	1638373577.8	413156657.7	6496973799.7
811200000000.0	1638374032.4	413138488.3	6497263136.3
811300000000.0	1638374487.0	413120323.1	6497552431.9
811400000000.0	1638374941.5	413102162.0	6497841686.4
811500000000.0	1638375395.8	413084005.1	6498130900.0
811600000000.0	1638375850.1	413065852.3	6498420072.5
811700000000.0	1638376304.2	413047703.8	6498709204.1
811800000000.0	1638376758.2	413029559.4	6498998294.6
811900000000.0	1638377212.1	413011419.1	6499287344.2
812000000000.0	1638377665.9	412993283.0	6499576352.8
812100000000.0	1638378119.6	412975151.1	6499865320.4
812200000000.0	1638378573.2	412957023.3	6500154247.1
812300000000.0	1638379026.6	412938899.7	6500443132.8
812400000000.0	1638379480.0	412920780.2	6500731977.6
812500000000.0	1638379933.2	412902664.9	6501020781.5
812600000000.0	1638380386.3	412884553.8	6501309544.4
812700000000.0	1638380839.3	412866446.8	6501598266.4
812800000000.0	1638381292.2	412848343.9	6501886947.6
812900000000.0	1638381745.0	412830245.2	6502175587.8
813000000000.0	1638382197.7	412812150.7	6502464187.1
813100000000.0	1638382650.3	412794060.3	6502752745.6
813200000000.0	1638383102.7	412775974.0	6503041263.2
813300000000.0	1638383555.1	412757891.9	6503329739.9
813400000000.0	1638384007.3	412739813.9	6503618175.7
813500000000.0	1638384459.5	412721740.0	6503906570.8
813600000000.0	1638384911.5	412703670.3	6504194924.9
813700000000.0	1638385363.4	412685604.8	6504483238.3
813800000000.0	1638385815.2	412667543.3	6504771510.8
813900000000.0	1638386266.8	412649486.0	6505059742.5
814000000000.0	1638386718.4	412631432.9	6505347933.4
