TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
610600000000.0	1616888365.0	1555080136.6	1681153223.8
610700000000.0	1616889134.8	1555080809.8	1681154096.8
610800000000.0	1616889904.3	1555081482.7	1681154969.4
610900000000.0	1616890673.5	1555082155.5	1681155841.8
611000000000.0	1616891442.5	1555082828.0	1681156713.9
611100000000.0	1616892211.3	1555083500.3	1681157585.7
611200000000.0	1616892979.8	1555084172.4	1681158457.2
611300000000.0	1616893748.0	1555084844.3	1681159328.4
611400000000.0	1616894516.0	1555085515.9	1681160199.4
611500000000.0	1616895283.8	1555086187.3	1681161070.0
611600000000.0	1616896051.3	1555086858.6	1681161940.4
611700000000.0	1616896818.5	1555087529.6	1681162810.5
611800000000.0	1616897585.5	1555088200.3	1681163680.3
611900000000.0	1616898352.3	1555088870.9	1681164549.8
612000000000.0	1616899118.8	1555089541.2	1681165419.1
612100000000.0	1616899885.0	1555090211.3	1681166288.0
612200000000.0	1616900651.0	1555090881.2	1681167156.7
612300000000.0	1616901416.8	1555091550.9	1681168025.1
612400000000.0	1616902182.3	1555092220.4	1681168893.2
612500000000.0	1616902947.5	1555092889.6	1681169761.1
612600000000.0	1616903712.5	1555093558.6	1681170628.6
612700000000.0	1616904477.3	1555094227.5	1681171495.9
612800000000.0	1616905241.8	1555094896.0	1681172362.8
612900000000.0	1616906006.0	1555095564.4	1681173229.5
613000000000.0	1616906770.0	1555096232.6	1681174096.0
613100000000.0	1616907533.8	1555096900.5	1681174962.1
613200000000.0	1616908297.3	1555097568.2	1681175828.0
613300000000.0	1616909060.5	1555098235.7	1681176693.5
613400000000.0	1616909823.6	1555098903.0	1681177558.8
613500000000.0	1616910586.3	1555099570.1	1681178423.8
613600000000.0	1616911348.8	1555100237.0	1681179288.6
613700000000.0	1616912111.1	1555100903.6	1681180153.0
613800000000.0	1616912873.1	1555101570.0	1681181017.2
613900000000.0	1616913634.9	1555102236.2	1681181881.1
614000000000.0	1616914396.4	1555102902.2	1681182744.7
614100000000.0	1616915157.7	1555103568.0	1681183608.0
614200000000.0	1616915918.7	1555104233.5	1681184471.1
614300000000.0	1616916679.5	1555104898.9	1681185333.8
614400000000.0	1616917440.1	1555105564.0	1681186196.3
614500000000.0	1616918200.4	1555106228.9	1681187058.5
614600000000.0	1616918960.4	1555106893.6	1681187920.4
614700000000.0	1616919720.2	1555107558.1	1681188782.1
614800000000.0	1616920479.7	1555108222.3	1681189643.5
614900000000.0	1616921239.0	1555108886.4	1681190504.5
615000000000.0	1616921998.1	1555109550.2	1681191365.4
615100000000.0	1616922756.9	1555110213.8	1681192225.9
615200000000.0	1616923515.5	1555110877.2	1681193086.1
615300000000.0	1616924273.8	1555111540.4	1681193946.1
615400000000.0	1616925031.9	1555112203.4	1681194805.8
615500000000.0	1616925789.7	1555112866.1	1681195665.2
615600000000.0	1616926547.3	1555113528.6	1681196524.4
615700000000.0	1616927304.6	1555114191.0	1681197383.2
615800000000.0	1616928061.7	1555114853.1	1681198241.8
615900000000.0	1616928818.6	1555115515.0	1681199100.1
616000000000.0	1616929575.2	1555116176.7	1681199958.1
616100000000.0	1616930331.5	1555116838.1	1681200815.9
616200000000.0	1616931087.6	1555117499.4	1681201673.3
616300000000.0	1616931843.5	1555118160.4	1681202530.5
616400000000.0	1616932599.1	1555118821.2	1681203387.5
616500000000.0	1616933354.5	1555119481.8	1681204244.1
616600000000.0	1616934109.7	1555120142.2	1681205100.5
616700000000.0	1616934864.5	1555120802.4	1681205956.5
616800000000.0	1616935619.2	1555121462.4	1681206812.4
616900000000.0	1616936373.6	1555122122.2	1681207667.9
617000000000.0	1616937127.8	1555122781.7	1681208523.1
617100000000.0	1616937881.7	1555123441.0	1681209378.1
617200000000.0	1616938635.3	1555124100.1	1681210232.8
617300000000.0	1616939388.8	1555124759.0	1681211087.2
617400000000.0	1616940142.0	1555125417.7	1681211941.4
617500000000.0	1616940894.9	1555126076.2	1681212795.3
617600000000.0	1616941647.6	1555126734.5	1681213648.9
617700000000.0	1616942400.1	1555127392.5	1681214502.2
617800000000.0	1616943152.3	1555128050.4	1681215355.2
617900000000.0	1616943904.2	1555128708.0	1681216208.0
618000000000.0	1616944656.0	1555129365.4	1681217060.5
618100000000.0	1616945407.4	1555130022.6	1681217912.7
618200000000.0	1616946158.7	1555130679.6	1681218764.7
618300000000.0	1616946909.7	1555131336.4	1681219616.4
618400000000.0	1616947660.4	1555131993.0	1681220467.8
618500000000.0	1616948411.0	1555132649.3	1681221318.9
618600000000.0	1616949161.2	1555133305.5	1681222169.7
618700000000.0	1616949911.3	1555133961.4	1681223020.3
618800000000.0	1616950661.1	1555134617.1	1681223870.6
618900000000.0	1616951410.6	1555135272.6	1681224720.6
619000000000.0	1616952159.9	1555135927.9	1681225570.4
619100000000.0	1616952909.0	1555136583.0	1681226419.9
619200000000.0	1616953657.8	1555137237.9	1681227269.1
619300000000.0	1616954406.4	1555137892.6	1681228118.0
619400000000.0	1616955154.7	1555138547.0	1681228966.7
619500000000.0	1616955902.8	1555139201.3	1681229815.1
619600000000.0	1616956650.7	1555139855.3	1681230663.2
619700000000.0	1616957398.3	1555140509.1	1681231511.0
619800000000.0	1616958145.7	1555141162.7	1681232358.6
619900000000.0	1616958892.8	1555141816.1	1681233205.9
620000000000.0	1616959639.7	1555142469.3	1681234052.9
620100000000.0	1616960386.4	1555143122.3	1681234899.7
620200000000.0	1616961132.8	1555143775.1	1681235746.1
620300000000.0	1616961879.0	1555144427.6	1681236592.3
620400000000.0	1616962624.9	1555145080.0	1681237438.3
620500000000.0	1616963370.6	1555145732.1	1681238283.9
620600000000.0	1616964116.1	1555146384.1	1681239129.3
620700000000.0	1616964861.3	1555147035.8	1681239974.5
620800000000.0	1616965606.3	1555147687.3	1681240819.3
620900000000.0	1616966351.0	1555148338.6	1681241663.9
621000000000.0	1616967095.5	1555148989.7	1681242508.2
621100000000.0	1616967839.8	1555149640.6	1681243352.2
621200000000.0	1616968583.8	1555150291.3	1681244196.0
621300000000.0	1616969327.6	1555150941.7	1681245039.5
621400000000.0	1616970071.2	1555151592.0	1681245882.7
621500000000.0	1616970814.5	1555152242.0	1681246725.7
621600000000.0	1616971557.5	1555152891.9	1681247568.3
621700000000.0	1616972300.4	1555153541.5	1681248410.7
621800000000.0	1616973043.0	1555154190.9	1681249252.9
621900000000.0	1616973785.3	1555154840.2	1681250094.8
622000000000.0	1616974527.4	1555155489.2	1681250936.4
622100000000.0	1616975269.3	1555156138.0	1681251777.7
622200000000.0	1616976010.9	1555156786.6	1681252618.8
622300000000.0	1616976752.3	1555157434.9	1681253459.6
622400000000.0	1616977493.5	1555158083.1	1681254300.1
622500000000.0	1616978234.4	1555158731.1	1681255140.3
622600000000.0	1616978975.1	1555159378.8	1681255980.3
622700000000.0	1616979715.6	1555160026.4	1681256820.0
622800000000.0	1616980455.8	1555160673.7	1681257659.5
622900000000.0	1616981195.8	1555161320.9	1681258498.7
623000000000.0	1616981935.5	1555161967.8	1681259337.6
623100000000.0	1616982675.0	1555162614.5	1681260176.2
623200000000.0	1616983414.3	1555163261.1	1681261014.6
623300000000.0	1616984153.3	1555163907.4	1681261852.7
623400000000.0	1616984892.1	1555164553.5	1681262690.5
623500000000.0	1616985630.7	1555165199.4	1681263528.1
623600000000.0	1616986369.0	1555165845.1	1681264365.4
623700000000.0	1616987107.1	1555166490.5	1681265202.4
623800000000.0	1616987845.0	1555167135.8	1681266039.2
623900000000.0	1616988582.6	1555167780.9	1681266875.7
624000000000.0	1616989320.0	1555168425.8	1681267711.9
624100000000.0	1616990057.1	1555169070.4	1681268547.9
624200000000.0	1616990794.0	1555169714.9	1681269383.6
624300000000.0	1616991530.7	1555170359.1	1681270219.0
624400000000.0	1616992267.1	1555171003.2	1681271054.2
624500000000.0	1616993003.3	1555171647.0	1681271889.1
624600000000.0	1616993739.3	1555172290.6	1681272723.7
624700000000.0	1616994475.0	1555172934.1	1681273558.1
624800000000.0	1616995210.5	1555173577.3	1681274392.2
624900000000.0	1616995945.8	1555174220.3	1681275226.0
625000000000.0	1616996680.8	1555174863.1	1681276059.6
625100000000.0	1616997415.6	1555175505.7	1681276892.9
625200000000.0	1616998150.2	1555176148.1	1681277725.9
625300000000.0	1616998884.5	1555176790.3	1681278558.7
625400000000.0	1616999618.6	1555177432.3	1681279391.2
625500000000.0	1617000352.5	1555178074.1	1681280223.4
625600000000.0	1617001086.1	1555178715.6	1681281055.4
625700000000.0	1617001819.5	1555179357.0	1681281887.1
625800000000.0	1617002552.6	1555179998.2	1681282718.5
625900000000.0	1617003285.5	1555180639.2	1681283549.7
626000000000.0	1617004018.2	1555181279.9	1681284380.6
626100000000.0	1617004750.7	1555181920.5	1681285211.3
626200000000.0	1617005482.9	1555182560.8	1681286041.7
626300000000.0	1617006214.9	1555183201.0	1681286871.8
626400000000.0	1617006946.7	1555183840.9	1681287701.6
626500000000.0	1617007678.2	1555184480.7	1681288531.2
